Time,Auto/Man,Temperature Inside,Humidity Inside
2021-04-01 15:43:26,Manual,23.0,62.0
2021-04-01 15:44:46,Manual,23.0,54.0
2021-04-01 15:45:50,Automatic,23.0,57.0
2021-04-01 15:50:42,Automatic,23.0,62.0
2021-04-01 15:55:44,Automatic,23.0,53.0
2021-04-01 16:00:44,Automatic,22.0,54.0
2021-04-01 16:03:00,Automatic,22.0,62.0
2021-04-01 16:05:42,Automatic,11.0,155.0
2021-04-01 16:10:42,Automatic,22.0,54.0
2021-04-01 16:15:42,Automatic,22.0,54.0
2021-04-01 16:25:52,Automatic,22.0,54.0
2021-04-01 16:30:52,Automatic,22.0,62.0
2021-04-01 16:35:51,Automatic,23.0,61.0
2021-04-01 16:40:44,Automatic,23.0,53.0
2021-04-01 16:45:49,Automatic,23.0,61.0
2021-04-01 16:50:49,Automatic,23.0,61.0
2021-04-01 16:55:44,Automatic,23.0,52.0
2021-04-01 17:00:41,Automatic,23.0,60.0
2021-04-01 17:05:42,Automatic,23.0,53.0
2021-04-01 17:10:41,Automatic,23.0,54.0
2021-04-01 17:15:41,Automatic,24.0,53.0
2021-04-01 17:20:41,Automatic,24.0,54.0
2021-04-01 17:25:41,Automatic,24.0,52.0
2021-04-01 17:30:49,Automatic,24.0,59.0
2021-04-01 17:35:42,Automatic,24.0,59.0
2021-04-01 17:40:42,Automatic,24.0,53.0
2021-04-01 17:45:41,Automatic,24.0,53.0
2021-04-01 17:50:41,Automatic,24.0,52.0
2021-04-01 17:55:41,Automatic,24.0,53.0
2021-04-01 18:00:41,Automatic,24.0,53.0
2021-04-01 18:05:49,Automatic,24.0,60.0
2021-04-01 18:10:47,Automatic,24.0,60.0
2021-04-01 18:15:42,Automatic,23.0,60.0
2021-04-01 18:20:45,Automatic,24.0,52.0
2021-04-01 18:25:52,Automatic,24.0,60.0
2021-04-01 18:30:44,Automatic,24.0,52.0
2021-04-01 18:34:39,Manual,24.0,52.0
2021-04-01 18:35:49,Automatic,24.0,60.0
2021-04-01 18:40:57,Automatic,24.0,60.0
2021-04-02 09:20:41,Automatic,23.0,46.0
2021-04-02 09:25:41,Automatic,24.0,42.0
2021-04-02 09:30:46,Automatic,25.0,46.0
2021-04-02 09:35:42,Automatic,25.0,46.0
2021-04-02 09:40:42,Automatic,25.0,36.0
2021-04-02 09:45:44,Automatic,26.0,38.0
2021-04-02 09:50:49,Automatic,26.0,45.0
2021-04-02 09:55:44,Automatic,26.0,37.0
2021-04-02 10:00:41,Automatic,26.0,43.0
2021-04-02 10:05:41,Automatic,26.0,36.0
2021-04-02 10:10:41,Automatic,26.0,36.0
2021-04-02 10:15:42,Automatic,26.0,39.0
2021-04-02 10:20:42,Automatic,26.0,37.0
2021-04-02 10:24:51,Manual,26.0,37.0
2021-04-02 10:25:42,Automatic,26.0,38.0
2021-04-02 10:30:44,Automatic,26.0,40.0
2021-04-02 10:35:44,Automatic,26.0,38.0
2021-04-02 10:40:49,Automatic,26.0,43.0
2021-04-02 10:45:41,Automatic,26.0,43.0
2021-04-02 10:50:41,Automatic,26.0,38.0
