,Time,Humidity,Temperature,Automatic
0,2020-11-1 00:00:00.0,55,26,Automatic
0,2020-12-5 00:00:00.0,55,26,Automatic
1,2021-01-1 00:05:00.0,40,26,Automatic
2,2021-01-1 00:10:00.0,42,25,Automatic
3,2021-01-1 00:15:00.0,74,25,Automatic
4,2021-01-1 00:20:00.0,34,25,Automatic
5,2021-01-1 00:25:00.0,48,25,Automatic
6,2021-01-1 00:30:00.0,39,25,Automatic
7,2021-01-1 00:35:00.0,72,25,Automatic
8,2021-01-1 00:40:00.0,76,27,Automatic
9,2021-01-1 00:45:00.0,73,25,Automatic
10,2021-01-1 00:50:00.0,32,25,Automatic
11,2021-01-1 00:55:00.0,38,25,Automatic
12,2021-01-1 01:00:00.0,67,26,Automatic
13,2021-01-1 01:05:00.0,40,27,Automatic
14,2021-01-1 01:10:00.0,65,27,Automatic
15,2021-01-1 01:15:00.0,62,27,Automatic
16,2021-01-1 01:20:00.0,66,27,Automatic
17,2021-01-1 01:25:00.0,53,26,Automatic
18,2021-01-1 01:30:00.0,45,26,Automatic
19,2021-01-1 01:35:00.0,76,25,Automatic
20,2021-01-1 01:40:00.0,33,26,Automatic
21,2021-01-1 01:45:00.0,29,26,Automatic
22,2021-01-1 01:50:00.0,29,26,Automatic
23,2021-01-1 01:55:00.0,23,26,Automatic
24,2021-01-1 02:00:00.0,46,26,Automatic
25,2021-01-1 02:05:00.0,21,25,Automatic
26,2021-01-1 02:10:00.0,26,26,Automatic
27,2021-01-1 02:15:00.0,43,27,Automatic
28,2021-01-1 02:20:00.0,59,25,Automatic
29,2021-01-1 02:25:00.0,20,26,Automatic
30,2021-01-1 02:30:00.0,75,27,Automatic
31,2021-01-1 02:35:00.0,54,26,Automatic
32,2021-01-1 02:40:00.0,65,27,Automatic
33,2021-01-1 02:45:00.0,48,26,Automatic
34,2021-01-1 02:50:00.0,30,27,Automatic
35,2021-01-1 02:55:00.0,37,26,Automatic
36,2021-01-1 03:00:00.0,55,26,Automatic
37,2021-01-1 03:05:00.0,63,25,Automatic
38,2021-01-1 03:10:00.0,69,26,Automatic
39,2021-01-1 03:15:00.0,70,25,Automatic
40,2021-01-1 03:20:00.0,38,27,Automatic
41,2021-01-1 03:25:00.0,65,25,Automatic
42,2021-01-1 03:30:00.0,65,25,Automatic
43,2021-01-1 03:35:00.0,55,27,Automatic
44,2021-01-1 03:40:00.0,78,25,Automatic
45,2021-01-1 03:45:00.0,44,25,Automatic
46,2021-01-1 03:50:00.0,47,26,Automatic
